period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,0
June,INGO,Belet Xaawo,ALINGO - TSFP,WFP10,3.95131,41.89715,TSFP_U5,23,0,14,0,14,0,0,2,2,115,37,18,134,78,0,0
June,LNGO,Rab Dhuure,yeed - District Capital,WFP10034,4.541978,43.022539,TSFP_U5,271,4,0,0,65,0,0,0,0,472,275,65,682,100,0,0
June,INGO,Lasanod,Yeyle - Settlement,WFP10036,8.698727,46.609919,TSFP_U5,43,0,0,0,32,0,0,0,0,429,43,32,440,100,0,0
June,LNGO,Gaalkacyo,Carfuuda  - TSFP,WFP103,6.62902,47.58737,TSFP_U5,21,0,0,0,16,0,0,0,0,44,21,16,49,100,0,0
June,LNGO,Bossaso,Carmo - TSFP,WFP104,10.5665,49.0609,TSFP_U5,15,0,0,0,57,0,0,0,0,304,15,57,262,100,0,0
June,INGO,BeletWeyne,Bacaad - Settlement,WFP1047,0.02435,42.814629,TSFP_U5,25,0,0,0,0,0,0,0,0,51,25,0,76,0,0,0
June,LNGO,Ceel Afweyn,BACAHA - Settlement,WFP1057,5.706654,45.931646,TSFP_U5,0,0,0,0,0,0,0,0,0,71,0,0,71,0,0,0
June,INGO,Buuhoodle,Cegaag - MCHN,WFP106,8.62001,46.49813,TSFP_U5,0,0,0,0,0,0,0,0,0,47,0,0,47,0,0,0
June,LNGO,Ceel Afweyn,Celcade  - TSFP,WFP117,9.808085,46.603849,TSFP_U5,0,0,0,0,0,0,0,0,0,78,0,0,78,0,0,0
June,INGO,Hargeisa,Bali Abane - Settlement,WFP1197,9.29667,44.529999,TSFP_U5,35,0,0,0,35,0,0,0,0,712,35,35,712,100,0,0
June,LNGO,Gaalkacyo,Ceel aqwaan - TSFP,WFP126,6.691801,47.377357,TSFP_U5,13,0,0,0,10,0,0,0,0,74,13,10,77,100,0,0
June,LNGO,Jariiban,CEELXAGAR - TSFP,WFP128,7.4174,49.27849,TSFP_U5,0,0,0,0,0,0,0,0,0,152,0,0,152,0,0,0
June,INGO,Garoowe,Cuun - TSFP,WFP133,8.81879,48.89346,TSFP_U5,47,0,0,0,7,0,0,0,0,35,47,7,75,100,0,0
June,LNGO,Xarardheere,Dabagalo - TSFP,WFP134,4.9217,47.66523,TSFP_U5,100,0,0,0,80,0,7,11,6,592,100,104,588,77,7,0
June,INGO,Dhuusamarreeb,Dabarre - TSFP,WFP135,5.18907,45.91851,TSFP_U5,26,0,0,0,24,0,0,0,0,132,26,24,134,100,0,0
June,INGO,Baydhaba,Darusalam - TSFP,WFP139,3.117954,43.662952,TSFP_U5,69,0,0,0,58,0,0,24,3,260,69,85,244,68,0,0
June,INGO,Cabudwaaq,Bangele - TSFP,WFP147,6.15527,46.43626,TSFP_U5,33,0,0,0,30,0,0,0,0,274,33,30,277,100,0,0
June,LNGO,Xarardheere,Dhalwo - TSFP,WFP152,4.5612,47.56813,TSFP_U5,54,0,0,0,42,0,4,6,2,563,54,54,563,78,7,0
June,INGO,Eyl,Dhanaane - TSFP,WFP153,7.596085,49.747431,TSFP_U5,18,0,0,0,13,0,2,0,0,115,18,15,118,87,13,0
June,INGO,Eyl,Dhigenle - TSFP,WFP156,7.83003,49.51149,TSFP_U5,42,0,0,0,39,0,0,0,0,392,42,39,395,100,0,0
June,INGO,Buuhoodle,Dhilaalo - TSFP,WFP157,8.440799,46.464777,TSFP_U5,0,0,0,0,0,0,0,0,0,70,0,0,70,0,0,0
June,LNGO,Afmadow,dhobley - TSFP,WFP158,0.40627,41.01238,TSFP_U5,32,0,0,0,0,0,3,2,16,650,32,21,661,0,14,0
June,LNGO,Ceel Afweyn,DHOOMO - TSFP,WFP159,9.815154,46.712569,TSFP_U5,0,0,0,0,0,0,0,0,0,126,0,0,126,0,0,0
June,LNGO,Bandarbayla,Dhudhub - TSFP,WFP160,9.22973,49.91697,TSFP_U5,20,0,0,0,79,0,0,0,0,651,20,79,592,100,0,0
June,LNGO,Diinsoor,Biilile - Settlement,WFP1639,3.18055,43.41617,TSFP_U5,112,0,0,0,6,0,0,0,0,139,112,6,245,100,0,0
June,LNGO,Afmadow,dibi - TSFP,WFP165,0.5804,41.1217,TSFP_U5,1,0,0,0,0,0,0,0,0,30,1,0,31,0,0,0
